,loss,MAE,RMSE,MAPE,MSLE,val_loss,val_MAE,val_RMSE,val_MAPE,val_MSLE
155,20336.103515625,311.4041748046875,514.0646362304688,20336.103515625,0.6028431057929993,7167.49853515625,320.77557373046875,520.071533203125,7167.49853515625,0.6320568323135376
156,11292.6806640625,308.707275390625,510.88702392578125,11292.6806640625,0.6038926839828491,9105.85546875,317.3824768066406,514.0282592773438,9105.85546875,0.6351027488708496
157,14748.2568359375,304.07745361328125,503.2997741699219,14748.2568359375,0.5880669355392456,21153.705078125,306.07421875,498.8137512207031,21153.705078125,0.5881352424621582
158,13296.0791015625,302.3833312988281,501.6645202636719,13296.0791015625,0.5885059237480164,17551.998046875,308.9987487792969,498.3550720214844,17551.998046875,0.6756425499916077
159,13161.7841796875,296.99371337890625,491.1724853515625,13161.7841796875,0.5785945057868958,11714.5693359375,308.56646728515625,503.11492919921875,11714.5693359375,0.591481626033783
160,11877.0625,298.1341857910156,493.5498352050781,11877.0625,0.5970073342323303,9621.8935546875,302.9779968261719,494.4381103515625,9621.8935546875,0.6027024388313293
161,10223.013671875,293.7919616699219,486.3800048828125,10223.013671875,0.5829319953918457,21219.4921875,284.99078369140625,466.28106689453125,21219.4921875,0.48401549458503723
162,14567.4814453125,290.0406188964844,479.6976318359375,14567.4814453125,0.5668525099754333,21425.755859375,289.8647766113281,472.24969482421875,21425.755859375,0.5506933331489563
163,19506.240234375,286.5526123046875,474.4713134765625,19506.240234375,0.5613824129104614,1049.531494140625,289.1417236328125,469.78289794921875,1049.531494140625,0.6059570908546448
164,11153.6904296875,285.0220031738281,472.50323486328125,11153.6904296875,0.5612272620201111,21600.08203125,281.3463439941406,459.6207580566406,21600.08203125,0.5202621817588806
165,15471.041015625,281.5500793457031,465.7674255371094,15471.041015625,0.5574827194213867,18091.298828125,282.76861572265625,461.0173034667969,18091.298828125,0.5420077443122864
166,14879.6357421875,280.3575744628906,463.909423828125,14879.6357421875,0.5587613582611084,10577.1533203125,274.66650390625,447.8884582519531,10577.1533203125,0.5425423383712769
167,7118.4345703125,278.60882568359375,460.71209716796875,7118.4345703125,0.5640631318092346,7703.8818359375,277.286865234375,450.8515930175781,7703.8818359375,0.5350849032402039
168,10650.2919921875,277.311279296875,459.81719970703125,10650.2919921875,0.5568324327468872,6557.8974609375,284.5433654785156,462.7664489746094,6557.8974609375,0.5992395281791687
169,30362.2734375,298.0278015136719,492.34698486328125,30362.2734375,0.5971962213516235,16691.478515625,294.1319274902344,482.05511474609375,16691.478515625,0.5198248624801636
170,15063.8056640625,292.145751953125,486.7077331542969,15063.8056640625,0.5705627202987671,9650.9248046875,288.27301025390625,473.1617126464844,9650.9248046875,0.5171302556991577
171,13709.13671875,286.81640625,478.4074401855469,13709.13671875,0.5540376901626587,14399.53515625,291.6120300292969,475.7805480957031,14399.53515625,0.582960307598114
172,18824.41015625,281.5746154785156,468.4625549316406,18824.41015625,0.5588197112083435,7661.48388671875,291.33843994140625,476.6314697265625,7661.48388671875,0.5782358646392822
173,8015.17138671875,280.8464660644531,467.1413269042969,8015.17138671875,0.5611575841903687,26239.62109375,281.8216857910156,460.09747314453125,26239.62109375,0.5735293626785278
174,10805.6376953125,277.18536376953125,459.7774963378906,10805.6376953125,0.5612971782684326,7961.20751953125,280.2406005859375,456.0882873535156,7961.20751953125,0.5738202333450317
175,16596.728515625,274.05487060546875,455.608642578125,16596.728515625,0.5490460991859436,4576.5361328125,266.6522521972656,434.2832946777344,4576.5361328125,0.4985640048980713
176,17003.607421875,272.4153747558594,450.7876892089844,17003.607421875,0.5484392642974854,16333.2626953125,281.95440673828125,457.3851318359375,16333.2626953125,0.5994061827659607
177,17619.662109375,269.75628662109375,446.6366271972656,17619.662109375,0.5468224287033081,19283.869140625,268.2253723144531,436.5271301269531,19283.869140625,0.535160481929779
178,13771.03125,268.528564453125,445.7438049316406,13771.03125,0.5393336415290833,31496.474609375,273.5520324707031,442.7704772949219,31496.474609375,0.5937652587890625
179,12248.146484375,267.07952880859375,441.86962890625,12248.146484375,0.555966854095459,20788.076171875,265.303955078125,432.14935302734375,20788.076171875,0.5118520259857178
180,12409.4345703125,265.94140625,440.7113037109375,12409.4345703125,0.5362198352813721,3724.597900390625,274.85089111328125,444.6867370605469,3724.597900390625,0.6138304471969604
181,12356.1943359375,262.8979797363281,435.2176513671875,12356.1943359375,0.5424643754959106,32054.13671875,274.1475524902344,445.1106262207031,32054.13671875,0.588918149471283
182,10472.8115234375,261.9170227050781,433.2013854980469,10472.8115234375,0.5313082933425903,7488.740234375,262.1923522949219,425.8804626464844,7488.740234375,0.5219613313674927
183,13887.9716796875,259.9144287109375,430.42645263671875,13887.9716796875,0.5340378284454346,53218.77734375,270.0956115722656,440.55078125,53218.77734375,0.534378707408905
184,15285.482421875,258.4095764160156,428.68572998046875,15285.482421875,0.5284504294395447,9637.37109375,262.8528747558594,428.9374694824219,9637.37109375,0.5158179402351379
185,17188.484375,257.8353271484375,427.6829833984375,17188.484375,0.5245785713195801,6953.54150390625,259.9176025390625,423.2619934082031,6953.54150390625,0.5465044975280762
186,13428.45703125,256.21142578125,424.66668701171875,13428.45703125,0.5215664505958557,33357.30859375,265.7806396484375,432.4444885253906,33357.30859375,0.5564756393432617
187,21194.927734375,255.66661071777344,423.6451416015625,21194.927734375,0.5282803177833557,22959.33984375,257.8227844238281,417.35284423828125,22959.33984375,0.5671374201774597
188,9027.4228515625,254.24485778808594,420.6813049316406,9027.4228515625,0.5372049808502197,11784.9462890625,257.6510009765625,421.7966003417969,11784.9462890625,0.4642743170261383
189,15257.681640625,253.22723388671875,420.1085205078125,15257.681640625,0.5241198539733887,22058.64453125,250.77430725097656,409.0960998535156,22058.64453125,0.4833727478981018
190,12164.8759765625,251.691650390625,417.9309387207031,12164.8759765625,0.5155820250511169,10101.98828125,255.5294189453125,415.3759765625,10101.98828125,0.5093399882316589
191,15584.94140625,250.01356506347656,414.0379333496094,15584.94140625,0.5183112621307373,34251.47265625,247.5845489501953,403.8525085449219,34251.47265625,0.4860338568687439
192,20501.849609375,248.55038452148438,412.3438415527344,20501.849609375,0.5196916460990906,619.8077392578125,247.82974243164062,404.88153076171875,619.8077392578125,0.48790881037712097
