,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,326456.84375,388.6468811035156,326456.84375,571.364013671875,154559.53125,274.4245300292969,154559.53125,393.1405944824219
1,142964.28125,261.3054504394531,142964.28125,378.1061706542969,133072.53125,251.20989990234375,133072.53125,364.79107666015625
2,124640.2578125,238.68304443359375,124640.2578125,353.0442810058594,118018.4609375,231.9894561767578,118018.4609375,343.53814697265625
3,111726.453125,223.1197052001953,111726.453125,334.25506591796875,106975.9609375,218.14285278320312,106975.9609375,327.0718078613281
4,102375.1328125,215.2744140625,102375.1328125,319.9611511230469,100180.2109375,211.81121826171875,100180.2109375,316.5125732421875
5,95362.1796875,208.54544067382812,95362.1796875,308.80767822265625,98147.1875,206.265380859375,98147.1875,313.2845153808594
6,90716.4453125,203.45819091796875,90716.4453125,301.19171142578125,92804.5390625,202.5154571533203,92804.5390625,304.63836669921875
7,87299.7265625,198.64993286132812,87299.7265625,295.46527099609375,96537.125,213.1268310546875,96537.125,310.7042541503906
8,82086.1328125,192.44036865234375,82086.1328125,286.50677490234375,88032.8828125,203.91583251953125,88032.8828125,296.703369140625
9,80475.625,191.65301513671875,80475.625,283.6822509765625,85422.0234375,194.99417114257812,85422.0234375,292.2704772949219
10,75625.0859375,184.90768432617188,75625.0859375,275.0001525878906,80384.5546875,188.14500427246094,80384.5546875,283.5216979980469
11,73556.0,182.5525665283203,73556.0,271.21209716796875,77143.8203125,186.3094024658203,77143.8203125,277.7477722167969
12,68927.953125,175.8360137939453,68927.953125,262.54132080078125,77300.40625,182.60093688964844,77300.40625,278.0295104980469
13,65253.3046875,170.3684539794922,65253.3046875,255.447265625,76418.3203125,180.8949737548828,76418.3203125,276.4386291503906
14,61519.1953125,164.9395294189453,61519.1953125,248.0306396484375,74725.109375,181.1414031982422,74725.109375,273.35894775390625
15,60816.28515625,163.78994750976562,60816.28515625,246.6095733642578,67688.578125,173.00022888183594,67688.578125,260.1702880859375
16,55342.46875,154.96646118164062,55342.46875,235.2498016357422,68838.6875,170.95065307617188,68838.6875,262.37127685546875
17,54045.09375,153.2936553955078,54045.09375,232.47601318359375,66874.34375,169.3101806640625,66874.34375,258.6007385253906
18,49243.32421875,147.21839904785156,49243.32421875,221.9083709716797,59561.4921875,157.5223846435547,59561.4921875,244.05223083496094
19,46361.41796875,140.68789672851562,46361.41796875,215.3170166015625,61448.87890625,158.483154296875,61448.87890625,247.8888397216797
20,44591.43359375,137.5449676513672,44591.43359375,211.16683959960938,59289.1796875,153.65577697753906,59289.1796875,243.4936981201172
21,42364.84765625,132.89169311523438,42364.84765625,205.8272247314453,55239.671875,150.4727783203125,55239.671875,235.03121948242188
22,40434.80078125,129.59524536132812,40434.80078125,201.0840606689453,57648.45703125,150.06834411621094,57648.45703125,240.10093688964844
23,39081.05859375,128.3402557373047,39081.05859375,197.68930053710938,54459.2265625,144.3013458251953,54459.2265625,233.36500549316406
24,35947.16015625,121.48774719238281,35947.16015625,189.5973663330078,52680.9765625,144.5455322265625,52680.9765625,229.5233612060547
