,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,473758.0,467.1466979980469,473758.0,688.30078125,186290.515625,314.1630554199219,186290.515625,431.6138610839844
1,167635.875,289.033203125,167635.875,409.43359375,153628.796875,273.98602294921875,153628.796875,391.9551086425781
2,148279.4375,268.3420104980469,148279.4375,385.0706787109375,142517.890625,264.67578125,142517.890625,377.5154113769531
3,140335.265625,259.1377258300781,140335.265625,374.6134948730469,137179.390625,256.436767578125,137179.390625,370.3773498535156
4,135625.03125,252.93731689453125,135625.03125,368.2730407714844,134034.984375,252.11656188964844,134034.984375,366.1078796386719
5,132115.390625,247.72999572753906,132115.390625,363.476806640625,130847.9140625,247.46482849121094,130847.9140625,361.72906494140625
6,129720.5625,244.4346923828125,129720.5625,360.16741943359375,128931.4453125,243.93748474121094,128931.4453125,359.07025146484375
7,127670.5625,241.20309448242188,127670.5625,357.3101806640625,131160.734375,250.0387420654297,131160.734375,362.16119384765625
8,125703.40625,238.54054260253906,125703.40625,354.5467529296875,127135.3984375,244.29010009765625,127135.3984375,356.5605163574219
9,124854.46875,236.88238525390625,124854.46875,353.3475036621094,126488.25,236.2099151611328,126488.25,355.65185546875
10,122776.640625,234.1748504638672,122776.640625,350.3949890136719,124886.078125,239.48489379882812,124886.078125,353.3922424316406
11,121681.125,233.2793426513672,121681.125,348.8282165527344,122621.5,235.2841033935547,122621.5,350.17352294921875
12,119023.9453125,229.97061157226562,119023.9453125,344.99847412109375,123222.2890625,235.792236328125,123222.2890625,351.03033447265625
13,117229.3359375,228.18270874023438,117229.3359375,342.3876953125,117913.71875,227.34959411621094,117913.71875,343.38568115234375
14,113384.3359375,223.52505493164062,113384.3359375,336.72589111328125,115074.9765625,221.77871704101562,115074.9765625,339.2270202636719
15,109056.5234375,218.982666015625,109056.5234375,330.237060546875,111498.4921875,220.611328125,111498.4921875,333.9139099121094
16,104236.5859375,215.03562927246094,104236.5859375,322.8569030761719,107596.4765625,218.1755828857422,107596.4765625,328.0190124511719
17,100814.5390625,211.41416931152344,100814.5390625,317.5130615234375,103002.9453125,216.2142333984375,103002.9453125,320.9407043457031
18,97900.6484375,208.51788330078125,97900.6484375,312.89080810546875,100399.6796875,207.8066864013672,100399.6796875,316.85906982421875
19,96013.53125,206.3294219970703,96013.53125,309.8605041503906,99966.65625,212.75352478027344,99966.65625,316.175048828125
20,94090.4765625,204.69662475585938,94090.4765625,306.74169921875,96858.7265625,205.30406188964844,96858.7265625,311.2213439941406
21,92286.0234375,202.04367065429688,92286.0234375,303.7861328125,96523.46875,205.3531494140625,96523.46875,310.6822509765625
22,91196.703125,201.6535186767578,91196.703125,301.9879150390625,93593.7109375,204.714111328125,93593.7109375,305.9308776855469
23,89559.8515625,199.27268981933594,89559.8515625,299.2655334472656,94218.5703125,204.90716552734375,94218.5703125,306.950439453125
24,87969.65625,197.13534545898438,87969.65625,296.5968017578125,94231.90625,201.48033142089844,94231.90625,306.97216796875
25,87123.671875,195.87252807617188,87123.671875,295.1672058105469,91861.3828125,199.50071716308594,91861.3828125,303.08642578125
26,85662.7734375,194.1744384765625,85662.7734375,292.6820373535156,90897.9765625,199.83865356445312,90897.9765625,301.492919921875
27,84734.4609375,192.4036407470703,84734.4609375,291.09185791015625,89560.53125,197.29635620117188,89560.53125,299.26666259765625
28,83563.8515625,191.31405639648438,83563.8515625,289.0741271972656,88372.3828125,197.1651153564453,88372.3828125,297.2749328613281
29,82075.0546875,189.16053771972656,82075.0546875,286.4874572753906,88271.7578125,194.33831787109375,88271.7578125,297.1056213378906
30,80674.1953125,187.4630889892578,80674.1953125,284.03204345703125,87312.8828125,198.20538330078125,87312.8828125,295.487548828125
31,78735.9921875,185.0751190185547,78735.9921875,280.5993347167969,84371.015625,190.6089324951172,84371.015625,290.4668884277344
32,77409.3984375,183.23768615722656,77409.3984375,278.2254333496094,82272.7265625,189.24676513671875,82272.7265625,286.83221435546875
33,75747.8828125,181.31434631347656,75747.8828125,275.22332763671875,81393.59375,185.9568328857422,81393.59375,285.2956237792969
34,74050.3515625,179.45046997070312,74050.3515625,272.1219482421875,81732.984375,193.38453674316406,81732.984375,285.8898010253906
35,72414.484375,177.60174560546875,72414.484375,269.0993957519531,78055.3359375,184.220703125,78055.3359375,279.38385009765625
36,70969.3515625,174.90724182128906,70969.3515625,266.4007263183594,76542.6328125,182.71685791015625,76542.6328125,276.66339111328125
37,69375.3203125,173.64205932617188,69375.3203125,263.3919372558594,76862.7421875,179.64219665527344,76862.7421875,277.2413024902344
38,67857.453125,171.127197265625,67857.453125,260.49462890625,73615.7890625,180.06854248046875,73615.7890625,271.3222961425781
39,66103.828125,168.54859924316406,66103.828125,257.1066589355469,74346.640625,177.17355346679688,74346.640625,272.6658020019531
40,65412.06640625,167.7996063232422,65412.06640625,255.75782775878906,70876.734375,174.79331970214844,70876.734375,266.2268371582031
41,63066.0078125,164.5646209716797,63066.0078125,251.1294708251953,69580.5546875,171.8688507080078,69580.5546875,263.78125
42,61173.390625,162.23362731933594,61173.390625,247.33255004882812,68129.828125,168.05517578125,68129.828125,261.01690673828125
43,59886.42578125,160.27276611328125,59886.42578125,244.71702575683594,67319.765625,168.88990783691406,67319.765625,259.4605407714844
44,58491.49609375,158.3721923828125,58491.49609375,241.85015869140625,65404.34375,168.0573272705078,65404.34375,255.74273681640625
45,56776.203125,156.12228393554688,56776.203125,238.27757263183594,64723.6171875,169.79205322265625,64723.6171875,254.4083709716797
46,55499.0625,153.7738800048828,55499.0625,235.5823974609375,63445.0,164.91522216796875,63445.0,251.88290405273438
47,54108.90625,151.37681579589844,54108.90625,232.6132049560547,63675.31640625,160.630126953125,63675.31640625,252.33969116210938
48,52873.76171875,149.5621795654297,52873.76171875,229.9429473876953,61856.21484375,162.98374938964844,61856.21484375,248.70909118652344
