,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,452408.8125,466.12567138671875,452408.8125,672.6134033203125,174218.453125,298.2230224609375,174218.453125,417.39483642578125
1,145209.421875,264.1192321777344,145209.421875,381.06353759765625,128086.484375,249.91928100585938,128086.484375,357.8917236328125
2,115820.5703125,233.82933044433594,115820.5703125,340.32421875,113663.7421875,226.18862915039062,113663.7421875,337.1405334472656
3,103130.1328125,218.85751342773438,103130.1328125,321.1387939453125,101096.8125,211.3577880859375,101096.8125,317.9572448730469
4,96616.234375,210.62086486816406,96616.234375,310.8315124511719,98143.5078125,217.99972534179688,98143.5078125,313.2786560058594
5,92401.2578125,207.4149169921875,92401.2578125,303.9757385253906,93626.140625,200.6087646484375,93626.140625,305.98388671875
6,88154.4453125,200.802490234375,88154.4453125,296.90814208984375,94140.8984375,205.1376953125,94140.8984375,306.8238830566406
7,86763.71875,198.34608459472656,86763.71875,294.55682373046875,85791.3046875,197.24339294433594,85791.3046875,292.9015197753906
8,82026.7578125,193.49693298339844,82026.7578125,286.40313720703125,89449.1328125,194.6962890625,89449.1328125,299.0804748535156
9,78905.9296875,189.69522094726562,78905.9296875,280.9020080566406,88057.453125,205.3840789794922,88057.453125,296.7447509765625
10,76674.3359375,187.17515563964844,76674.3359375,276.90130615234375,79161.0390625,185.0703887939453,79161.0390625,281.355712890625
11,73662.046875,181.94503784179688,73662.046875,271.40753173828125,77019.265625,184.39305114746094,77019.265625,277.5234375
12,70694.890625,178.79136657714844,70694.890625,265.8851013183594,73844.0078125,177.44590759277344,73844.0078125,271.7425537109375
13,65537.9765625,170.90335083007812,65537.9765625,256.00384521484375,83778.875,196.73583984375,83778.875,289.44580078125
14,62800.390625,165.05612182617188,62800.390625,250.60006713867188,72061.6875,175.51905822753906,72061.6875,268.4430847167969
15,59204.56640625,159.11915588378906,59204.56640625,243.31988525390625,66243.125,167.08265686035156,66243.125,257.3774108886719
16,57870.1640625,155.7508544921875,57870.1640625,240.5621795654297,68147.46875,169.5191650390625,68147.46875,261.0506896972656
17,54935.55859375,150.96055603027344,54935.55859375,234.38336181640625,66787.7578125,165.94244384765625,66787.7578125,258.43328857421875
18,50034.23046875,142.4206085205078,50034.23046875,223.68331909179688,62480.62890625,158.9187774658203,62480.62890625,249.9612579345703
19,47892.9921875,140.2515869140625,47892.9921875,218.8446807861328,61552.140625,155.766845703125,61552.140625,248.0970458984375
20,47435.125,139.3812713623047,47435.125,217.7960662841797,59310.05078125,154.29647827148438,59310.05078125,243.5365447998047
21,43410.72265625,132.97723388671875,43410.72265625,208.35240173339844,61610.9921875,158.40374755859375,61610.9921875,248.2156219482422
22,42338.68359375,131.13284301757812,42338.68359375,205.76365661621094,65196.45703125,158.81533813476562,65196.45703125,255.33596801757812
23,45343.92578125,135.40011596679688,45343.92578125,212.94113159179688,56386.796875,146.73684692382812,56386.796875,237.45904541015625
24,38738.12890625,123.29989624023438,38738.12890625,196.82003784179688,54270.8828125,145.96006774902344,54270.8828125,232.96112060546875
25,37073.63671875,120.94908142089844,37073.63671875,192.54515075683594,51077.1484375,142.35240173339844,51077.1484375,226.00254821777344
26,34815.96484375,117.39822387695312,34815.96484375,186.59036254882812,53479.1640625,145.5933380126953,53479.1640625,231.25563049316406
27,36487.53515625,119.87639617919922,36487.53515625,191.01710510253906,48152.7265625,137.5332794189453,48152.7265625,219.4373016357422
28,32781.390625,114.13976287841797,32781.390625,181.0563201904297,50613.2578125,140.1310577392578,50613.2578125,224.97390747070312
29,32281.326171875,113.83175659179688,32281.326171875,179.6700439453125,47979.15234375,136.92208862304688,47979.15234375,219.04144287109375
30,31741.466796875,113.1003189086914,31741.466796875,178.16134643554688,53127.28125,148.07427978515625,53127.28125,230.49356079101562
31,31381.982421875,112.4825210571289,31381.982421875,177.14959716796875,49558.42578125,139.31996154785156,49558.42578125,222.61721801757812
32,30387.478515625,109.54838562011719,30387.478515625,174.32005310058594,51731.1953125,138.958740234375,51731.1953125,227.44493103027344
33,30699.916015625,111.6072006225586,30699.916015625,175.2139129638672,46927.8671875,135.4548797607422,46927.8671875,216.62840270996094
34,29347.94921875,107.95004272460938,29347.94921875,171.31243896484375,45161.75390625,130.4524688720703,45161.75390625,212.51295471191406
35,27733.861328125,105.62899780273438,27733.861328125,166.5348663330078,46337.07421875,131.56747436523438,46337.07421875,215.26048278808594
36,27378.33984375,105.7120361328125,27378.33984375,165.46401977539062,42303.91015625,127.4640121459961,42303.91015625,205.67913818359375
37,26392.205078125,102.95081329345703,26392.205078125,162.45677185058594,45806.34765625,134.21109008789062,45806.34765625,214.024169921875
38,26527.271484375,103.27408599853516,26527.271484375,162.8719482421875,48023.05859375,139.3373565673828,48023.05859375,219.1416473388672
39,25245.1796875,100.87866973876953,25245.1796875,158.88731384277344,44166.9921875,131.38592529296875,44166.9921875,210.15943908691406
40,24271.341796875,99.54791259765625,24271.341796875,155.79261779785156,40543.98828125,125.26956939697266,40543.98828125,201.35537719726562
41,23997.21875,98.36418151855469,23997.21875,154.9103546142578,43396.97265625,128.1248016357422,43396.97265625,208.31939697265625
42,25325.443359375,101.43911743164062,25325.443359375,159.1396942138672,42015.359375,127.89588928222656,42015.359375,204.9764862060547
43,24266.068359375,99.47789001464844,24266.068359375,155.77569580078125,41398.23046875,127.71967315673828,41398.23046875,203.46554565429688
44,23461.810546875,97.85761260986328,23461.810546875,153.1724853515625,41816.90234375,124.74076843261719,41816.90234375,204.4918212890625
45,23177.388671875,96.90672302246094,23177.388671875,152.24122619628906,42848.20703125,128.50843811035156,42848.20703125,206.99807739257812
46,21690.32421875,94.41583251953125,21690.32421875,147.27635192871094,44500.06640625,133.96109008789062,44500.06640625,210.9503936767578
47,22274.212890625,94.92816925048828,22274.212890625,149.2454833984375,38897.4296875,120.56244659423828,38897.4296875,197.2243194580078
48,20505.619140625,91.02951049804688,20505.619140625,143.1978302001953,39336.17578125,122.02906036376953,39336.17578125,198.33349609375
49,21723.1953125,93.4688949584961,21723.1953125,147.38790893554688,46955.54296875,142.4588623046875,46955.54296875,216.69227600097656
50,20841.015625,92.3155746459961,20841.015625,144.3641815185547,40036.265625,122.74633026123047,40036.265625,200.09063720703125
51,20824.978515625,92.61052703857422,20824.978515625,144.30862426757812,38408.55078125,119.19332122802734,38408.55078125,195.9810028076172
52,21315.841796875,92.6134033203125,21315.841796875,145.99945068359375,39008.16015625,121.99665832519531,39008.16015625,197.5048370361328
53,20288.296875,91.07633209228516,20288.296875,142.43699645996094,44441.40234375,133.18328857421875,44441.40234375,210.81129455566406
54,19080.583984375,88.71151733398438,19080.583984375,138.1324920654297,40815.75390625,125.70856475830078,40815.75390625,202.0290985107422
55,19887.2890625,90.7843246459961,19887.2890625,141.0222930908203,37236.31640625,118.71607971191406,37236.31640625,192.96713256835938
56,19343.455078125,88.87469482421875,19343.455078125,139.08074951171875,38555.69140625,119.04967498779297,38555.69140625,196.3560333251953
57,20293.9296875,90.37248992919922,20293.9296875,142.45677185058594,37967.3984375,118.0312728881836,37967.3984375,194.8522491455078
58,19841.453125,90.62020111083984,19841.453125,140.8596954345703,40734.3828125,122.81525421142578,40734.3828125,201.82760620117188
59,18536.767578125,86.47366333007812,18536.767578125,136.14979553222656,36500.17578125,116.22857666015625,36500.17578125,191.05018615722656
60,18282.181640625,86.14559173583984,18282.181640625,135.2116241455078,36546.31640625,114.61357879638672,36546.31640625,191.17091369628906
61,17590.205078125,85.01011657714844,17590.205078125,132.62806701660156,37667.0703125,117.94054412841797,37667.0703125,194.08006286621094
62,17409.26171875,85.18061828613281,17409.26171875,131.9441680908203,36851.1953125,116.80937194824219,36851.1953125,191.96664428710938
63,18140.484375,86.13871765136719,18140.484375,134.68661499023438,34745.953125,111.98775482177734,34745.953125,186.4026641845703
64,17181.576171875,84.38003540039062,17181.576171875,131.07850646972656,36284.90625,112.80841064453125,36284.90625,190.48597717285156
65,17077.373046875,84.09822082519531,17077.373046875,130.680419921875,36254.421875,115.83061218261719,36254.421875,190.40594482421875
66,17452.6328125,84.21524047851562,17452.6328125,132.10841369628906,36338.2265625,114.01453399658203,36338.2265625,190.62588500976562
67,16697.361328125,82.13298797607422,16697.361328125,129.21827697753906,34339.6796875,111.70040130615234,34339.6796875,185.3096923828125
68,16103.326171875,80.65885925292969,16103.326171875,126.89888000488281,40130.85546875,118.91078186035156,40130.85546875,200.32687377929688
69,16682.99609375,82.63446807861328,16682.99609375,129.1626739501953,36192.69921875,114.7712631225586,36192.69921875,190.24378967285156
70,16796.03515625,81.9405517578125,16796.03515625,129.59951782226562,42191.2265625,131.1028289794922,42191.2265625,205.405029296875
71,16917.58984375,83.7471694946289,16917.58984375,130.06764221191406,33152.33203125,108.57526397705078,33152.33203125,182.07781982421875
72,14805.4775390625,78.22412109375,14805.4775390625,121.6777572631836,35306.41796875,111.3125228881836,35306.41796875,187.9000244140625
73,15067.2021484375,78.71678161621094,15067.2021484375,122.74853515625,38310.35546875,119.03372192382812,38310.35546875,195.73031616210938
74,16566.609375,81.96981811523438,16566.609375,128.71133422851562,36412.34375,115.10736846923828,36412.34375,190.8201904296875
75,15502.4697265625,79.63167572021484,15502.4697265625,124.5089111328125,34813.47265625,112.4329833984375,34813.47265625,186.5836944580078
76,14319.41796875,76.59131622314453,14319.41796875,119.66377258300781,36076.6484375,114.40127563476562,36076.6484375,189.93853759765625
77,14438.96875,77.09480285644531,14438.96875,120.16226196289062,38217.671875,114.99403381347656,38217.671875,195.493408203125
